Id,LotFrontage,LotArea,YearBuilt,BedroomAbvGr,KitchenAbvGr,YrSold,SalePrice,PriceLabel
100,90,12376,1990,5,1,2010,320000,1
522,70,11606,1969,5,1,2007,135000,0
23,98,11478,2007,3,1,2010,306000,1
357,100,10839,1997,3,1,2008,181000,1
734,65,7150,1967,3,1,2009,100000,0
1094,60,10440,1920,5,1,2008,256000,1
1112,50,5250,1872,4,1,2008,122000,0
612,60,8544,1950,2,2,2006,93500,0
1010,55,8250,1968,3,1,2008,134000,0
341,73,8899,2007,3,1,2007,181134,1
432,60,10800,1900,3,2,2008,106250,0
962,58,10852,2000,3,1,2006,173000,0
218,50,5500,1929,3,1,2010,130000,0
204,72,11317,2003,3,1,2007,180000,1
906,60,6882,1914,3,1,2007,127000,0
923,57,9764,1967,3,1,2008,130000,0
94,105,11751,1977,3,1,2010,190000,1
911,70,7000,1960,2,1,2007,135000,0
69,100,13000,1968,4,1,2009,193500,1
895,80,8800,1964,3,1,2006,160000,0
285,60,8400,1950,2,1,2009,82000,0
697,90,8100,1948,2,1,2007,153500,0
86,77,9320,1959,3,1,2010,128950,0
435,130,40094,2007,3,1,2007,184750,1
797,24,2308,1976,3,1,2007,155000,0
154,64,7018,1979,2,2,2009,153337,0
76,105,8470,1915,2,1,2009,85000,0
1043,80,9600,1956,2,1,2009,128900,0
581,65,8450,1965,3,1,2010,138500,0
447,57,8924,1998,3,1,2008,188000,1
704,100,12665,1915,4,1,2008,153900,0
189,73,8760,1959,3,1,2010,148000,0
272,50,5000,1941,2,1,2007,87000,0
237,74,9612,2008,3,1,2009,244600,1
488,74,8740,1982,2,1,2009,137000,0
1160,46,20544,1986,3,1,2008,215000,1
560,54,6629,1925,3,1,2009,103600,0
118,78,11645,2005,3,1,2006,260000,1
638,80,10421,1988,3,1,2010,196500,1
1128,75,9750,1998,3,1,2006,274300,1
751,50,14859,2006,3,1,2006,240000,1
513,59,7227,1954,2,1,2008,105500,0
634,72,8640,2009,3,1,2010,215200,1
786,78,9360,1972,3,1,2010,197500,1
1007,52,6240,1947,2,1,2006,80500,0
853,102,15863,1920,5,1,2009,197000,1
127,84,11340,1923,4,1,2006,125000,0
117,70,10500,1971,3,1,2010,115000,0
474,83,13159,2009,3,1,2009,224500,1
741,70,11184,1978,3,1,2009,172500,0
993,50,6000,1925,3,1,2009,117000,0
58,47,4608,1945,2,1,2010,80000,0
604,64,7314,2007,2,1,2009,194500,1
787,60,7200,1950,3,1,2007,129000,0
971,37,6951,1984,3,1,2008,119500,0
657,50,6000,1954,2,1,2008,107900,0
903,71,9230,1965,1,1,2006,146000,0
922,93,12085,2007,3,1,2007,318000,1
106,60,6780,1935,2,1,2006,84500,0
636,30,9549,1995,2,1,2006,270000,1
370,137,16492,1966,2,1,2010,190000,1
269,86,10380,1986,4,1,2007,301000,1
656,76,10142,2004,4,1,2010,233000,1
47,100,10175,1964,3,1,2008,180500,1
350,60,3378,1946,3,1,2009,135000,0
774,313,27650,1960,4,1,2008,242000,1
196,52,8741,1945,3,1,2010,113000,0
103,75,9464,1958,3,1,2008,136000,0
5,84,14260,2000,4,1,2008,250000,1
620,41,5395,1993,2,1,2008,180000,1
991,71,9353,1970,3,1,2006,116050,0
53,60,7200,1920,3,1,2007,101000,0
264,94,13005,1980,4,1,2009,260000,1
1093,60,6600,1982,3,1,2008,130500,0
444,50,5000,1946,1,1,2007,39300,0
972,54,7681,1921,3,1,2009,154900,0
783,70,8163,1959,3,1,2006,143000,0
847,43,3182,2005,2,1,2008,191000,1
692,30,3180,2005,2,1,2006,151000,0
305,50,7175,1984,2,1,2010,125000,0
342,74,7844,1978,3,1,2006,149500,0
867,103,11175,2007,3,1,2007,200141,1
314,79,9245,2006,3,1,2007,213500,1
150,63,11426,2003,3,1,2008,200000,1
125,120,10356,1975,3,1,2007,122000,0
1063,21,1680,1972,3,1,2009,119500,0
575,42,26178,1989,4,1,2006,335000,1
698,21,1680,1973,2,1,2008,100000,0
665,60,7200,1937,3,1,2007,175000,0
51,60,7200,1972,2,1,2008,124900,0
727,75,9000,2007,4,1,2007,303477,1
800,65,10237,2005,3,1,2007,178900,1
354,21,1680,1971,2,1,2008,85400,0
1153,62,7415,2004,3,1,2008,193000,1
143,47,12416,1986,3,1,2008,184000,1
471,79,12327,1983,1,1,2009,316600,1
654,35,6300,1914,3,1,2008,128000,0
400,32,4500,1998,2,1,2006,164000,0
1154,64,6762,2006,2,1,2006,193879,1
938,57,8773,1997,3,1,2007,169000,0
321,50,8405,1900,4,1,2008,119000,0
20,44,4224,1976,3,1,2007,129900,0
685,60,9900,1940,3,1,2009,139500,0
36,115,16905,1959,2,1,2007,170000,0
825,51,4712,1946,3,1,2006,121600,0
506,82,12464,1996,3,1,2009,152000,0
828,74,10206,1952,2,1,2009,82000,0
1071,75,7500,1959,3,1,2010,154000,0
408,70,7931,1960,3,1,2008,155000,0
818,83,10159,2009,3,1,2010,395192,1
538,60,7200,1950,3,1,2008,98300,0
759,30,3000,2009,2,1,2009,173733,0
1069,35,3675,2005,2,1,2006,140000,0
893,75,7500,1963,3,1,2010,133000,0
39,48,12822,2003,1,1,2009,239686,1
176,72,10011,1957,2,1,2006,134450,0
246,37,7937,1984,3,1,2006,142500,0
811,68,9450,1954,3,1,2007,110000,0
1085,47,4230,2006,2,1,2007,208900,1
1078,100,12000,1948,2,1,2008,147000,0
785,65,14006,2002,3,1,2006,192500,1
1185,79,11526,1922,3,1,2008,191000,1
490,50,9100,1930,2,1,2008,79500,0
155,41,4923,2001,0,1,2008,286000,1
639,75,12508,1940,4,1,2008,160000,0
663,57,7677,1953,2,1,2008,110000,0
854,50,6305,1938,2,1,2007,119750,0
288,65,6435,1939,3,1,2006,140200,0
626,80,10240,2005,3,1,2006,275500,1
1200,68,9717,1950,2,1,2010,142125,0
686,81,11216,2006,3,1,2006,232600,1
873,96,11308,2008,3,1,2009,335000,1
570,58,16770,1998,4,1,2010,221000,1
1144,65,8944,1967,4,2,2009,124000,0
735,50,5119,1999,2,1,2008,328900,1
793,70,7420,1962,3,1,2007,132000,0
18,57,7449,1930,3,1,2007,139400,0
128,60,9600,1924,2,1,2008,79000,0
323,60,10134,1940,2,1,2007,109000,0
256,80,10386,2004,3,1,2007,305900,1
944,77,9965,2006,4,1,2007,424870,1
1180,80,8400,1962,3,1,2008,174000,0
191,21,1680,1972,2,1,2006,94500,0
116,65,15426,1997,3,1,2009,231500,1
1174,60,10930,1945,3,1,2008,140000,0
889,60,10800,1936,3,1,2006,170000,0
607,39,5389,1995,2,1,2010,236500,1
181,85,11475,1975,3,1,2006,179900,1
302,101,9150,1962,3,1,2008,165000,0
497,53,3922,2006,2,1,2007,194201,1
349,72,9000,1956,2,1,2008,139000,0
1036,62,9858,1968,3,1,2009,130000,0
983,24,2645,1999,2,1,2007,174000,0
745,50,8765,1936,2,1,2006,106500,0
1152,50,6000,1929,3,1,2008,120000,0
518,71,7064,1977,3,1,2009,135000,0
373,70,5684,1930,2,1,2006,110000,0
46,60,7134,1955,3,1,2007,130000,0
477,80,8480,1947,2,1,2008,118500,0
158,24,2522,2004,3,1,2006,130000,0
1047,60,10120,1910,4,2,2007,122000,0
172,67,5604,1925,2,1,2008,98000,0
17,101,14215,2005,4,1,2006,325300,1
512,80,8800,1963,3,1,2010,137500,0
49,89,11645,2004,3,1,2006,196500,1
192,75,10650,1976,3,1,2010,128200,0
547,21,1680,1971,3,1,2010,88000,0
516,45,8248,1914,2,1,2008,67000,0
978,60,9738,1924,4,1,2006,104900,0
939,60,6180,1926,2,1,2007,102000,0
829,60,5400,1920,2,1,2007,86000,0
984,60,9600,1925,3,1,2007,125000,0
481,81,12150,1954,4,1,2008,131500,0
1129,85,10625,2005,3,1,2008,250000,1
284,85,14191,2002,4,1,2010,202900,1
1030,107,13891,2006,2,1,2006,465000,1
798,122,11923,2007,2,1,2009,239000,1
940,80,9600,1950,3,1,2008,119000,0
226,92,11764,1999,4,1,2010,290000,1
27,85,11049,2007,3,1,2008,179900,1
283,66,12400,1958,3,1,2009,155000,0
1150,60,7200,1950,3,1,2009,138000,0
438,70,13300,1956,2,1,2007,132000,0
1168,71,9204,1963,3,1,2008,124000,0
365,92,12108,1955,4,2,2008,118000,0
230,129,9196,2003,3,1,2010,201000,1
38,61,7658,2005,2,1,2010,319900,1
670,75,9000,1954,2,1,2006,118000,0
750,63,7875,2003,3,1,2006,180000,1
1181,60,9000,1971,3,1,2007,120500,0
375,75,9000,2008,3,1,2009,210000,1
470,70,10171,2004,3,1,2010,214000,1
883,72,10152,1956,3,1,2007,135000,0
1182,96,12444,2008,2,1,2008,394617,1
688,50,6130,1924,2,1,2008,109500,0
33,68,7922,1953,3,1,2010,109000,0
1011,78,10496,1949,3,1,2007,143000,0
1176,60,21930,2005,4,1,2006,192140,1
195,93,12030,2007,3,1,2007,318000,1
1106,70,8294,1971,3,1,2007,123000,0
1114,70,9247,1962,4,1,2008,171000,0
1064,60,6600,1892,4,2,2009,107500,0
504,88,12803,2002,3,1,2008,221000,1
916,168,23257,2006,3,1,2006,274725,1
977,50,35133,1963,3,1,2007,186700,1
1183,90,7407,1957,2,1,2010,149700,0
1088,107,10186,1992,3,1,2010,190000,1
801,130,9600,1940,2,1,2009,160000,0
580,57,6420,1952,2,1,2006,123500,0
161,79,9416,2007,3,1,2007,311872,1
681,80,8816,1971,3,1,2010,155000,0
1198,85,13175,1978,3,1,2010,210000,1
163,92,5520,1912,5,1,2009,104000,0
822,80,9760,1964,3,1,2007,187000,1
706,36,15523,1972,3,1,2009,133500,0
1009,66,7800,1964,2,1,2006,115000,0
878,80,14000,1996,3,1,2010,328000,1
896,73,9069,1992,2,1,2010,147000,0
914,98,12256,1994,3,1,2010,325000,1
1199,66,9042,1941,4,1,2010,266500,1
153,60,10410,1916,3,1,2009,135000,0
979,107,10615,1900,3,2,2009,95000,0
1003,69,10205,1962,3,1,2006,134500,0
510,70,8402,2007,3,1,2007,147000,0
112,78,10335,1968,3,1,2006,180000,1
227,80,9600,1958,3,1,2009,139000,0
986,51,8029,2005,3,1,2008,176000,0
852,21,1680,1972,3,1,2006,118000,0
104,55,7892,1993,2,1,2008,153900,0
422,60,9600,1928,3,1,2008,161000,0
420,80,9554,1993,3,1,2006,215000,1
625,79,9236,1997,3,1,2006,217000,1
587,70,8400,2004,3,1,2010,213000,1
1061,40,5664,2000,2,1,2009,278000,1
920,66,8923,1953,2,1,2007,134500,0
673,144,21384,1923,3,1,2009,223500,1
120,78,10335,1999,3,1,2009,204000,1
54,44,6442,2006,2,1,2007,202500,1
152,90,22950,1892,4,1,2006,475000,1
404,60,10800,1900,3,2,2006,160000,0
1189,80,10000,1995,3,1,2007,240000,1
208,85,9350,1964,3,1,2007,158000,0
1135,45,8212,1914,2,1,2010,58500,0
659,92,9920,1996,3,1,2007,269790,1
1097,55,10780,1976,3,1,2006,132500,0
233,83,10005,1977,4,1,2008,192000,1
9,50,7420,1939,2,2,2008,118000,0
160,24,2280,1976,3,1,2009,148500,0
37,70,7945,1959,3,1,2006,141000,0
453,54,7244,1970,2,1,2007,129500,0
652,65,7153,1992,3,1,2006,175900,0
254,70,9800,1972,3,1,2006,149900,0
304,80,17120,1959,4,1,2008,134432,0
897,85,10574,2005,3,1,2009,252000,1
1049,78,11344,1958,3,1,2007,144000,0
881,42,3964,1973,5,1,2006,151400,0
572,60,8089,2007,2,1,2007,392000,1
624,55,8800,1910,3,1,2010,96500,0
1145,68,7838,1967,3,1,2006,123000,0
1031,78,12090,1984,3,1,2007,178000,1
1146,60,10800,1905,3,2,2008,163000,0
263,71,7795,2004,3,1,2009,188500,1
611,60,10800,1914,2,1,2006,163000,0
298,78,12011,1998,3,1,2006,280000,1
990,75,11235,1963,3,1,2006,148000,0
415,75,9803,2005,3,1,2008,226700,1
151,92,7438,1908,3,1,2006,127000,0
946,52,6240,1928,3,1,2006,149000,0
473,60,7332,1959,2,1,2006,120000,0
953,85,9350,1965,3,1,2008,179900,1
988,65,8850,1916,3,1,2006,144000,0
779,55,12640,1976,4,2,2006,150900,0
641,47,53504,2003,4,1,2010,538000,1
1190,70,11767,1910,2,1,2007,112000,0
1143,70,9100,2000,3,1,2006,235000,1
551,75,9937,1964,3,1,2009,167000,0
640,70,9100,2004,3,1,2006,216837,1
936,90,9900,1880,5,1,2007,117500,0
929,60,10434,1955,2,1,2009,115000,0
489,65,25095,1968,1,1,2009,143000,0
820,82,9452,1997,3,1,2006,348000,1
711,102,17920,1955,3,1,2006,170000,0
1081,108,14774,1999,4,1,2010,333168,1
148,54,7588,1920,4,1,2006,200100,1
147,60,8520,1923,2,1,2007,100000,0
1175,60,7200,1940,2,1,2010,119000,0
963,120,13728,1935,4,1,2008,235000,1
346,78,7060,1997,2,2,2008,206300,1
403,70,12243,1971,3,1,2007,175000,0
932,59,11796,2004,4,1,2007,215000,1
955,92,11932,2007,3,1,2008,235128,1
1125,48,10635,2003,3,1,2010,232000,1
660,76,9158,2007,3,1,2007,225000,1
464,57,21872,1996,3,1,2008,175000,0
187,70,8521,1967,3,1,2010,125000,0
609,75,11404,1998,3,1,2008,222500,1
144,84,12615,1950,4,1,2007,243000,1
752,80,9920,1954,3,1,2010,128000,0
982,60,7500,1999,3,1,2010,189000,1
198,40,3880,1945,2,1,2007,110500,0
884,78,11700,1968,4,1,2009,154000,0
280,86,14157,2005,3,1,2007,377426,1
294,60,8400,1940,2,1,2006,140000,0
1089,50,5330,1940,2,1,2009,82500,0
401,80,9600,1950,3,1,2009,147000,0
123,51,6120,1931,2,1,2009,105000,0
203,75,11310,1954,2,1,2006,140000,0
836,115,21286,1948,4,1,2008,135000,0
247,75,13710,1950,4,1,2007,152000,0
1140,60,8520,1916,5,1,2007,136000,0
385,79,9480,1942,3,1,2007,146500,0
855,89,12898,2007,2,1,2009,315500,1
220,78,12090,1981,3,1,2008,175500,0
642,67,8877,1951,2,1,2006,102000,0
2,80,9600,1976,3,1,2007,181500,1
113,80,10400,1970,3,1,2008,174000,0
699,75,9525,1995,3,1,2008,144000,0
952,90,10768,1976,3,1,2007,218000,1
1079,100,17500,1959,3,1,2010,335000,1
442,60,6155,1920,3,1,2008,128000,0
664,104,13518,2008,4,1,2009,485000,1
1197,62,7917,1999,3,1,2007,175000,0
318,72,7200,1976,3,1,2009,125000,0
649,60,8400,1977,4,2,2007,144000,0
710,53,7128,1941,4,1,2007,164000,0
973,77,8335,1954,3,1,2006,93000,0
628,34,3230,1999,3,1,2009,172500,0
633,60,6911,1924,2,1,2009,100000,0
1172,80,10721,1959,3,1,2008,142000,0
1107,66,13695,2003,3,1,2008,155000,0
796,50,7207,1958,2,1,2010,116500,0
646,32,4500,1998,2,1,2009,162000,0
1013,60,15384,2004,3,1,2008,184000,1
557,65,8125,1994,3,1,2008,193500,1
682,44,6371,2009,2,1,2010,224000,1
578,54,13811,1987,2,1,2006,176000,0
525,34,4590,2006,2,1,2007,209500,1
1060,50,6000,1939,4,1,2009,132500,0
541,21,1936,1970,1,1,2007,84500,0
749,64,8712,1957,2,1,2009,153000,0
1110,50,6000,1920,2,1,2007,108500,0
485,51,6120,1935,3,1,2009,133000,0
96,77,9965,2007,4,1,2007,383970,1
1021,55,8525,1911,4,1,2008,130000,0
564,60,9600,1900,4,2,2006,87000,0
743,64,7018,1979,4,2,2009,118858,0
864,100,21750,1960,3,1,2009,115000,0
892,80,11040,1971,3,1,2008,145000,0
1039,91,14303,1994,2,1,2008,301500,1
207,65,8366,2004,3,1,2008,173000,0
393,75,13125,1997,3,1,2008,208900,1
795,24,2572,1999,3,1,2010,155000,0
871,104,11361,1976,3,1,2008,180000,1
398,72,11846,2003,2,1,2006,374000,1
767,50,8012,1993,2,1,2008,193000,1
1100,24,2368,1970,3,1,2009,125000,0
1029,85,10625,1974,3,1,2010,170000,0
643,94,7819,1976,3,1,2010,107000,0
613,72,10463,2005,3,1,2006,239900,1
961,64,10475,2008,3,1,2010,245350,1
726,52,5720,1941,3,1,2009,66500,0
684,60,6000,1953,2,1,2009,93000,0
99,74,8536,2006,2,1,2007,155000,0
805,36,2268,2003,2,1,2009,173000,0
407,105,15578,2006,3,1,2006,172785,0
503,30,3182,2004,2,1,2010,151000,0
1072,92,10120,1994,4,1,2006,290000,1
1057,61,8800,1977,3,1,2009,150500,0
930,53,3684,2007,2,1,2009,174000,0
780,42,7711,1977,4,2,2007,150000,0
201,80,10400,1988,3,1,2006,241500,1
135,55,5500,1956,1,1,2007,103200,0
1052,95,11345,1948,4,2,2007,137000,0
41,33,4456,1920,2,3,2009,113000,0
1018,70,7910,1960,4,1,2008,127000,0
231,140,19138,1951,2,1,2010,141000,0
379,75,8004,2009,3,1,2009,263435,1
289,36,2448,2003,2,1,2008,154000,0
419,60,7596,1952,4,2,2009,124500,0
392,80,8480,1963,2,1,2007,132500,0
593,40,4671,1988,2,1,2008,189000,1
1087,70,8400,1957,3,1,2009,156500,0
648,100,13350,1974,3,1,2006,142500,0
521,80,9600,1955,3,1,2010,153000,0
65,21,1596,1973,2,1,2009,91000,0
15,66,13695,2004,3,1,2008,159000,0
1065,78,10140,1976,4,1,2006,162900,0
493,60,6600,1982,2,1,2008,138000,0
380,60,7200,1936,3,1,2009,155000,0
188,43,3182,2005,2,1,2009,192500,1
764,70,8462,1994,3,1,2007,201000,1
217,88,8471,1977,3,1,2006,151000,0
792,24,1300,1980,2,1,2009,124000,0
1077,60,8072,1994,3,1,2009,138000,0
879,59,7837,1993,3,1,2009,178000,1
338,100,34650,1955,3,1,2006,145000,0
720,85,6970,1961,3,1,2007,129000,0
296,44,4224,1976,3,1,2007,134000,0
1017,65,8769,2008,1,1,2008,367294,1
456,53,4043,1977,2,1,2008,140000,0
816,68,10880,1950,3,1,2008,125000,0
270,49,5820,1955,3,1,2006,126175,0
996,90,14684,1990,3,1,2009,271900,1
202,69,9142,1910,4,2,2006,137000,0
162,174,25419,1918,4,1,2006,235000,1
730,88,11782,1961,3,1,2010,148000,0
402,79,10289,1965,3,1,2007,156000,0
703,80,8000,1961,6,2,2007,141000,0
1130,89,10991,2007,3,1,2007,239000,1
566,80,11844,2008,3,1,2009,372500,1
1022,96,13132,1914,4,1,2006,138887,0
1026,64,9037,2006,2,1,2007,265900,1
1105,120,9560,1972,3,1,2006,128500,0
206,44,4750,2006,2,1,2007,235000,1
35,84,8658,1965,3,1,2006,160000,0
776,67,10083,2003,2,1,2009,184900,1
509,61,7943,1961,3,1,2007,118500,0
1184,80,11584,1979,3,1,2007,197000,1
92,50,6000,1948,2,1,2008,115000,0
898,24,2522,2004,3,1,2006,137500,0
565,52,9022,1924,2,1,2009,109500,0
777,75,9675,2005,3,1,2009,253000,1
242,120,15611,2006,3,1,2006,233230,1
14,72,10791,1967,2,2,2006,90000,0
316,43,3182,2004,2,1,2010,192000,1
601,60,8172,1954,4,1,2008,135000,0
388,92,11952,1977,3,1,2007,190000,1
167,50,7000,1924,2,1,2006,112000,0
841,70,8400,2001,3,1,2009,227000,1
21,110,14230,2007,3,1,2009,256300,1
647,86,11210,2005,3,1,2006,221500,1
1155,49,15256,2007,3,1,2007,282922,1
832,65,8385,1977,3,1,2008,149900,0
563,24,2289,1978,3,1,2009,148500,0
1171,37,4435,2003,1,1,2008,136500,0
687,114,14803,2007,2,1,2008,385000,1
958,109,8724,1968,3,1,2007,129000,0
190,174,15138,1995,4,1,2009,403000,1
976,60,10800,1920,2,1,2006,120000,0
700,70,11767,1946,3,1,2008,130500,0
511,21,1491,1972,1,1,2010,75500,0
1083,85,11075,1969,4,1,2008,206900,1
475,76,9967,2000,3,1,2007,170000,0
857,21,1477,1970,1,1,2009,80000,0
748,65,6993,1961,3,1,2006,135000,0
253,118,13704,2001,3,1,2006,205000,1
22,60,7200,1951,3,1,2010,134800,0
460,85,10625,2003,3,1,2008,284000,1
277,85,10655,2003,3,1,2009,284000,1
956,76,9120,1974,4,1,2008,185000,1
386,98,11428,2006,3,1,2007,250000,1
806,55,7892,1979,2,1,2010,99500,0
344,60,8160,1940,3,1,2007,126000,0
770,73,8925,2007,3,1,2009,201000,1
131,100,12552,2004,3,1,2010,254900,1
872,43,7052,2005,2,1,2006,185850,1
1124,41,2665,1977,4,1,2006,127000,0
88,64,7018,1979,4,2,2009,118964,0
331,60,10200,1940,2,1,2008,108000,0
467,66,21780,1918,4,1,2008,185000,1
122,24,2522,2004,3,1,2006,130000,0
1045,34,4060,1998,2,1,2008,181000,1
1096,85,10000,2006,3,1,2007,227000,1
1131,52,6292,1930,2,1,2008,91000,0
861,80,9600,1981,4,1,2009,278000,1
1127,80,9600,1955,3,1,2008,165500,0
