Id,LotFrontage,LotArea,YearBuilt,BedroomAbvGr,KitchenAbvGr,YrSold,SalePrice
168,50,3500,1947,2,1,2009,110000
417,100,15602,1959,1,1,2010,289000
577,51,6120,1936,3,1,2009,141500
268,99,12099,2004,4,1,2007,354000
808,60,11414,1910,3,1,2009,167500
427,71,9187,1983,3,1,2007,134000
691,80,11900,1957,3,1,2008,166000
545,60,10320,1906,3,1,2008,135000
1123,68,9179,1999,3,1,2008,193000
675,90,8100,1898,2,3,2009,106000
690,24,2544,2005,2,1,2006,147400
1055,67,9808,2002,3,1,2009,227000
1177,60,10800,1927,4,1,2007,64500
1033,60,9600,1917,3,1,2008,129500
1035,93,11160,1968,3,1,2010,244000
258,90,12378,2003,3,1,2006,360000
336,85,10800,2007,3,1,2008,339750
16,70,7560,1958,3,1,2009,139000
902,60,8400,1925,4,1,2008,136500
325,60,7200,1972,2,1,2009,123000
608,73,9590,2003,3,1,2007,187500
1054,60,7500,1920,2,1,2010,68400
791,82,7136,1946,4,2,2007,145000
223,71,6900,1940,2,1,2008,120500
180,73,8990,2006,2,1,2006,204900
100,90,12376,1990,5,1,2010,320000
522,70,11606,1969,5,1,2007,135000
23,98,11478,2007,3,1,2010,306000
357,100,10839,1997,3,1,2008,181000
734,65,7150,1967,3,1,2009,100000
1094,60,10440,1920,5,1,2008,256000
1112,50,5250,1872,4,1,2008,122000
612,60,8544,1950,2,2,2006,93500
1010,55,8250,1968,3,1,2008,134000
341,73,8899,2007,3,1,2007,181134
432,60,10800,1900,3,2,2008,106250
962,58,10852,2000,3,1,2006,173000
218,50,5500,1929,3,1,2010,130000
204,72,11317,2003,3,1,2007,180000
906,60,6882,1914,3,1,2007,127000
923,57,9764,1967,3,1,2008,130000
94,105,11751,1977,3,1,2010,190000
911,70,7000,1960,2,1,2007,135000
69,100,13000,1968,4,1,2009,193500
895,80,8800,1964,3,1,2006,160000
285,60,8400,1950,2,1,2009,82000
697,90,8100,1948,2,1,2007,153500
86,77,9320,1959,3,1,2010,128950
435,130,40094,2007,3,1,2007,184750
797,24,2308,1976,3,1,2007,155000
154,64,7018,1979,2,2,2009,153337
76,105,8470,1915,2,1,2009,85000
1043,80,9600,1956,2,1,2009,128900
581,65,8450,1965,3,1,2010,138500
447,57,8924,1998,3,1,2008,188000
704,100,12665,1915,4,1,2008,153900
189,73,8760,1959,3,1,2010,148000
272,50,5000,1941,2,1,2007,87000
237,74,9612,2008,3,1,2009,244600
488,74,8740,1982,2,1,2009,137000
1160,46,20544,1986,3,1,2008,215000
560,54,6629,1925,3,1,2009,103600
118,78,11645,2005,3,1,2006,260000
638,80,10421,1988,3,1,2010,196500
1128,75,9750,1998,3,1,2006,274300
751,50,14859,2006,3,1,2006,240000
513,59,7227,1954,2,1,2008,105500
634,72,8640,2009,3,1,2010,215200
786,78,9360,1972,3,1,2010,197500
1007,52,6240,1947,2,1,2006,80500
853,102,15863,1920,5,1,2009,197000
127,84,11340,1923,4,1,2006,125000
117,70,10500,1971,3,1,2010,115000
474,83,13159,2009,3,1,2009,224500
741,70,11184,1978,3,1,2009,172500
993,50,6000,1925,3,1,2009,117000
58,47,4608,1945,2,1,2010,80000
604,64,7314,2007,2,1,2009,194500
787,60,7200,1950,3,1,2007,129000
971,37,6951,1984,3,1,2008,119500
657,50,6000,1954,2,1,2008,107900
903,71,9230,1965,1,1,2006,146000
922,93,12085,2007,3,1,2007,318000
106,60,6780,1935,2,1,2006,84500
636,30,9549,1995,2,1,2006,270000
370,137,16492,1966,2,1,2010,190000
269,86,10380,1986,4,1,2007,301000
656,76,10142,2004,4,1,2010,233000
47,100,10175,1964,3,1,2008,180500
350,60,3378,1946,3,1,2009,135000
774,313,27650,1960,4,1,2008,242000
196,52,8741,1945,3,1,2010,113000
103,75,9464,1958,3,1,2008,136000
5,84,14260,2000,4,1,2008,250000
620,41,5395,1993,2,1,2008,180000
991,71,9353,1970,3,1,2006,116050
53,60,7200,1920,3,1,2007,101000
264,94,13005,1980,4,1,2009,260000
1093,60,6600,1982,3,1,2008,130500
444,50,5000,1946,1,1,2007,39300
972,54,7681,1921,3,1,2009,154900
783,70,8163,1959,3,1,2006,143000
847,43,3182,2005,2,1,2008,191000
692,30,3180,2005,2,1,2006,151000
305,50,7175,1984,2,1,2010,125000
342,74,7844,1978,3,1,2006,149500
867,103,11175,2007,3,1,2007,200141
314,79,9245,2006,3,1,2007,213500
150,63,11426,2003,3,1,2008,200000
125,120,10356,1975,3,1,2007,122000
1063,21,1680,1972,3,1,2009,119500
575,42,26178,1989,4,1,2006,335000
698,21,1680,1973,2,1,2008,100000
665,60,7200,1937,3,1,2007,175000
51,60,7200,1972,2,1,2008,124900
727,75,9000,2007,4,1,2007,303477
800,65,10237,2005,3,1,2007,178900
354,21,1680,1971,2,1,2008,85400
1153,62,7415,2004,3,1,2008,193000
143,47,12416,1986,3,1,2008,184000
471,79,12327,1983,1,1,2009,316600
654,35,6300,1914,3,1,2008,128000
400,32,4500,1998,2,1,2006,164000
1154,64,6762,2006,2,1,2006,193879
938,57,8773,1997,3,1,2007,169000
321,50,8405,1900,4,1,2008,119000
20,44,4224,1976,3,1,2007,129900
685,60,9900,1940,3,1,2009,139500
36,115,16905,1959,2,1,2007,170000
825,51,4712,1946,3,1,2006,121600
506,82,12464,1996,3,1,2009,152000
828,74,10206,1952,2,1,2009,82000
1071,75,7500,1959,3,1,2010,154000
408,70,7931,1960,3,1,2008,155000
818,83,10159,2009,3,1,2010,395192
538,60,7200,1950,3,1,2008,98300
759,30,3000,2009,2,1,2009,173733
1069,35,3675,2005,2,1,2006,140000
893,75,7500,1963,3,1,2010,133000
39,48,12822,2003,1,1,2009,239686
176,72,10011,1957,2,1,2006,134450
246,37,7937,1984,3,1,2006,142500
811,68,9450,1954,3,1,2007,110000
1085,47,4230,2006,2,1,2007,208900
1078,100,12000,1948,2,1,2008,147000
785,65,14006,2002,3,1,2006,192500
1185,79,11526,1922,3,1,2008,191000
490,50,9100,1930,2,1,2008,79500
155,41,4923,2001,0,1,2008,286000
639,75,12508,1940,4,1,2008,160000
663,57,7677,1953,2,1,2008,110000
854,50,6305,1938,2,1,2007,119750
288,65,6435,1939,3,1,2006,140200
626,80,10240,2005,3,1,2006,275500
1200,68,9717,1950,2,1,2010,142125
686,81,11216,2006,3,1,2006,232600
873,96,11308,2008,3,1,2009,335000
570,58,16770,1998,4,1,2010,221000
1144,65,8944,1967,4,2,2009,124000
735,50,5119,1999,2,1,2008,328900
793,70,7420,1962,3,1,2007,132000
18,57,7449,1930,3,1,2007,139400
128,60,9600,1924,2,1,2008,79000
323,60,10134,1940,2,1,2007,109000
256,80,10386,2004,3,1,2007,305900
944,77,9965,2006,4,1,2007,424870
1180,80,8400,1962,3,1,2008,174000
191,21,1680,1972,2,1,2006,94500
116,65,15426,1997,3,1,2009,231500
1174,60,10930,1945,3,1,2008,140000
889,60,10800,1936,3,1,2006,170000
607,39,5389,1995,2,1,2010,236500
181,85,11475,1975,3,1,2006,179900
302,101,9150,1962,3,1,2008,165000
497,53,3922,2006,2,1,2007,194201
349,72,9000,1956,2,1,2008,139000
1036,62,9858,1968,3,1,2009,130000
983,24,2645,1999,2,1,2007,174000
745,50,8765,1936,2,1,2006,106500
1152,50,6000,1929,3,1,2008,120000
518,71,7064,1977,3,1,2009,135000
373,70,5684,1930,2,1,2006,110000
46,60,7134,1955,3,1,2007,130000
477,80,8480,1947,2,1,2008,118500
158,24,2522,2004,3,1,2006,130000
1047,60,10120,1910,4,2,2007,122000
172,67,5604,1925,2,1,2008,98000
17,101,14215,2005,4,1,2006,325300
512,80,8800,1963,3,1,2010,137500
49,89,11645,2004,3,1,2006,196500
192,75,10650,1976,3,1,2010,128200
547,21,1680,1971,3,1,2010,88000
516,45,8248,1914,2,1,2008,67000
978,60,9738,1924,4,1,2006,104900
939,60,6180,1926,2,1,2007,102000
829,60,5400,1920,2,1,2007,86000
984,60,9600,1925,3,1,2007,125000
481,81,12150,1954,4,1,2008,131500
1129,85,10625,2005,3,1,2008,250000
284,85,14191,2002,4,1,2010,202900
1030,107,13891,2006,2,1,2006,465000
798,122,11923,2007,2,1,2009,239000
940,80,9600,1950,3,1,2008,119000
226,92,11764,1999,4,1,2010,290000
27,85,11049,2007,3,1,2008,179900
283,66,12400,1958,3,1,2009,155000
1150,60,7200,1950,3,1,2009,138000
438,70,13300,1956,2,1,2007,132000
1168,71,9204,1963,3,1,2008,124000
365,92,12108,1955,4,2,2008,118000
230,129,9196,2003,3,1,2010,201000
38,61,7658,2005,2,1,2010,319900
670,75,9000,1954,2,1,2006,118000
750,63,7875,2003,3,1,2006,180000
1181,60,9000,1971,3,1,2007,120500
375,75,9000,2008,3,1,2009,210000
470,70,10171,2004,3,1,2010,214000
883,72,10152,1956,3,1,2007,135000
1182,96,12444,2008,2,1,2008,394617
688,50,6130,1924,2,1,2008,109500
33,68,7922,1953,3,1,2010,109000
1011,78,10496,1949,3,1,2007,143000
1176,60,21930,2005,4,1,2006,192140
195,93,12030,2007,3,1,2007,318000
1106,70,8294,1971,3,1,2007,123000
1114,70,9247,1962,4,1,2008,171000
1064,60,6600,1892,4,2,2009,107500
504,88,12803,2002,3,1,2008,221000
916,168,23257,2006,3,1,2006,274725
977,50,35133,1963,3,1,2007,186700
1183,90,7407,1957,2,1,2010,149700
1088,107,10186,1992,3,1,2010,190000
801,130,9600,1940,2,1,2009,160000
580,57,6420,1952,2,1,2006,123500
161,79,9416,2007,3,1,2007,311872
681,80,8816,1971,3,1,2010,155000
1198,85,13175,1978,3,1,2010,210000
163,92,5520,1912,5,1,2009,104000
822,80,9760,1964,3,1,2007,187000
706,36,15523,1972,3,1,2009,133500
1009,66,7800,1964,2,1,2006,115000
878,80,14000,1996,3,1,2010,328000
896,73,9069,1992,2,1,2010,147000
914,98,12256,1994,3,1,2010,325000
1199,66,9042,1941,4,1,2010,266500
153,60,10410,1916,3,1,2009,135000
979,107,10615,1900,3,2,2009,95000
1003,69,10205,1962,3,1,2006,134500
510,70,8402,2007,3,1,2007,147000
112,78,10335,1968,3,1,2006,180000
227,80,9600,1958,3,1,2009,139000
986,51,8029,2005,3,1,2008,176000
852,21,1680,1972,3,1,2006,118000
104,55,7892,1993,2,1,2008,153900
422,60,9600,1928,3,1,2008,161000
420,80,9554,1993,3,1,2006,215000
625,79,9236,1997,3,1,2006,217000
587,70,8400,2004,3,1,2010,213000
1061,40,5664,2000,2,1,2009,278000
920,66,8923,1953,2,1,2007,134500
673,144,21384,1923,3,1,2009,223500
120,78,10335,1999,3,1,2009,204000
54,44,6442,2006,2,1,2007,202500
152,90,22950,1892,4,1,2006,475000
404,60,10800,1900,3,2,2006,160000
1189,80,10000,1995,3,1,2007,240000
208,85,9350,1964,3,1,2007,158000
1135,45,8212,1914,2,1,2010,58500
659,92,9920,1996,3,1,2007,269790
1097,55,10780,1976,3,1,2006,132500
233,83,10005,1977,4,1,2008,192000
9,50,7420,1939,2,2,2008,118000
160,24,2280,1976,3,1,2009,148500
37,70,7945,1959,3,1,2006,141000
453,54,7244,1970,2,1,2007,129500
652,65,7153,1992,3,1,2006,175900
254,70,9800,1972,3,1,2006,149900
304,80,17120,1959,4,1,2008,134432
897,85,10574,2005,3,1,2009,252000
1049,78,11344,1958,3,1,2007,144000
881,42,3964,1973,5,1,2006,151400
572,60,8089,2007,2,1,2007,392000
624,55,8800,1910,3,1,2010,96500
1145,68,7838,1967,3,1,2006,123000
1031,78,12090,1984,3,1,2007,178000
1146,60,10800,1905,3,2,2008,163000
263,71,7795,2004,3,1,2009,188500
611,60,10800,1914,2,1,2006,163000
298,78,12011,1998,3,1,2006,280000
990,75,11235,1963,3,1,2006,148000
415,75,9803,2005,3,1,2008,226700
151,92,7438,1908,3,1,2006,127000
946,52,6240,1928,3,1,2006,149000
473,60,7332,1959,2,1,2006,120000
953,85,9350,1965,3,1,2008,179900
988,65,8850,1916,3,1,2006,144000
779,55,12640,1976,4,2,2006,150900
641,47,53504,2003,4,1,2010,538000
1190,70,11767,1910,2,1,2007,112000
1143,70,9100,2000,3,1,2006,235000
551,75,9937,1964,3,1,2009,167000
640,70,9100,2004,3,1,2006,216837
936,90,9900,1880,5,1,2007,117500
929,60,10434,1955,2,1,2009,115000
489,65,25095,1968,1,1,2009,143000
820,82,9452,1997,3,1,2006,348000
711,102,17920,1955,3,1,2006,170000
1081,108,14774,1999,4,1,2010,333168
148,54,7588,1920,4,1,2006,200100
147,60,8520,1923,2,1,2007,100000
1175,60,7200,1940,2,1,2010,119000
963,120,13728,1935,4,1,2008,235000
346,78,7060,1997,2,2,2008,206300
403,70,12243,1971,3,1,2007,175000
932,59,11796,2004,4,1,2007,215000
955,92,11932,2007,3,1,2008,235128
1125,48,10635,2003,3,1,2010,232000
660,76,9158,2007,3,1,2007,225000
464,57,21872,1996,3,1,2008,175000
187,70,8521,1967,3,1,2010,125000
609,75,11404,1998,3,1,2008,222500
144,84,12615,1950,4,1,2007,243000
752,80,9920,1954,3,1,2010,128000
982,60,7500,1999,3,1,2010,189000
198,40,3880,1945,2,1,2007,110500
884,78,11700,1968,4,1,2009,154000
280,86,14157,2005,3,1,2007,377426
294,60,8400,1940,2,1,2006,140000
1089,50,5330,1940,2,1,2009,82500
401,80,9600,1950,3,1,2009,147000
123,51,6120,1931,2,1,2009,105000
203,75,11310,1954,2,1,2006,140000
836,115,21286,1948,4,1,2008,135000
247,75,13710,1950,4,1,2007,152000
1140,60,8520,1916,5,1,2007,136000
385,79,9480,1942,3,1,2007,146500
855,89,12898,2007,2,1,2009,315500
220,78,12090,1981,3,1,2008,175500
642,67,8877,1951,2,1,2006,102000
2,80,9600,1976,3,1,2007,181500
113,80,10400,1970,3,1,2008,174000
699,75,9525,1995,3,1,2008,144000
952,90,10768,1976,3,1,2007,218000
1079,100,17500,1959,3,1,2010,335000
442,60,6155,1920,3,1,2008,128000
664,104,13518,2008,4,1,2009,485000
1197,62,7917,1999,3,1,2007,175000
318,72,7200,1976,3,1,2009,125000
649,60,8400,1977,4,2,2007,144000
710,53,7128,1941,4,1,2007,164000
973,77,8335,1954,3,1,2006,93000
628,34,3230,1999,3,1,2009,172500
633,60,6911,1924,2,1,2009,100000
1172,80,10721,1959,3,1,2008,142000
1107,66,13695,2003,3,1,2008,155000
796,50,7207,1958,2,1,2010,116500
646,32,4500,1998,2,1,2009,162000
1013,60,15384,2004,3,1,2008,184000
557,65,8125,1994,3,1,2008,193500
682,44,6371,2009,2,1,2010,224000
578,54,13811,1987,2,1,2006,176000
525,34,4590,2006,2,1,2007,209500
1060,50,6000,1939,4,1,2009,132500
541,21,1936,1970,1,1,2007,84500
749,64,8712,1957,2,1,2009,153000
1110,50,6000,1920,2,1,2007,108500
485,51,6120,1935,3,1,2009,133000
96,77,9965,2007,4,1,2007,383970
1021,55,8525,1911,4,1,2008,130000
564,60,9600,1900,4,2,2006,87000
743,64,7018,1979,4,2,2009,118858
864,100,21750,1960,3,1,2009,115000
892,80,11040,1971,3,1,2008,145000
1039,91,14303,1994,2,1,2008,301500
207,65,8366,2004,3,1,2008,173000
393,75,13125,1997,3,1,2008,208900
795,24,2572,1999,3,1,2010,155000
871,104,11361,1976,3,1,2008,180000
398,72,11846,2003,2,1,2006,374000
767,50,8012,1993,2,1,2008,193000
1100,24,2368,1970,3,1,2009,125000
1029,85,10625,1974,3,1,2010,170000
643,94,7819,1976,3,1,2010,107000
613,72,10463,2005,3,1,2006,239900
961,64,10475,2008,3,1,2010,245350
726,52,5720,1941,3,1,2009,66500
684,60,6000,1953,2,1,2009,93000
99,74,8536,2006,2,1,2007,155000
805,36,2268,2003,2,1,2009,173000
407,105,15578,2006,3,1,2006,172785
503,30,3182,2004,2,1,2010,151000
1072,92,10120,1994,4,1,2006,290000
1057,61,8800,1977,3,1,2009,150500
930,53,3684,2007,2,1,2009,174000
780,42,7711,1977,4,2,2007,150000
201,80,10400,1988,3,1,2006,241500
135,55,5500,1956,1,1,2007,103200
1052,95,11345,1948,4,2,2007,137000
41,33,4456,1920,2,3,2009,113000
1018,70,7910,1960,4,1,2008,127000
231,140,19138,1951,2,1,2010,141000
379,75,8004,2009,3,1,2009,263435
289,36,2448,2003,2,1,2008,154000
419,60,7596,1952,4,2,2009,124500
392,80,8480,1963,2,1,2007,132500
593,40,4671,1988,2,1,2008,189000
1087,70,8400,1957,3,1,2009,156500
648,100,13350,1974,3,1,2006,142500
521,80,9600,1955,3,1,2010,153000
65,21,1596,1973,2,1,2009,91000
15,66,13695,2004,3,1,2008,159000
1065,78,10140,1976,4,1,2006,162900
493,60,6600,1982,2,1,2008,138000
380,60,7200,1936,3,1,2009,155000
188,43,3182,2005,2,1,2009,192500
764,70,8462,1994,3,1,2007,201000
217,88,8471,1977,3,1,2006,151000
792,24,1300,1980,2,1,2009,124000
1077,60,8072,1994,3,1,2009,138000
879,59,7837,1993,3,1,2009,178000
338,100,34650,1955,3,1,2006,145000
720,85,6970,1961,3,1,2007,129000
296,44,4224,1976,3,1,2007,134000
1017,65,8769,2008,1,1,2008,367294
456,53,4043,1977,2,1,2008,140000
816,68,10880,1950,3,1,2008,125000
270,49,5820,1955,3,1,2006,126175
996,90,14684,1990,3,1,2009,271900
202,69,9142,1910,4,2,2006,137000
162,174,25419,1918,4,1,2006,235000
730,88,11782,1961,3,1,2010,148000
402,79,10289,1965,3,1,2007,156000
703,80,8000,1961,6,2,2007,141000
1130,89,10991,2007,3,1,2007,239000
566,80,11844,2008,3,1,2009,372500
1022,96,13132,1914,4,1,2006,138887
1026,64,9037,2006,2,1,2007,265900
1105,120,9560,1972,3,1,2006,128500
206,44,4750,2006,2,1,2007,235000
35,84,8658,1965,3,1,2006,160000
776,67,10083,2003,2,1,2009,184900
509,61,7943,1961,3,1,2007,118500
1184,80,11584,1979,3,1,2007,197000
92,50,6000,1948,2,1,2008,115000
898,24,2522,2004,3,1,2006,137500
565,52,9022,1924,2,1,2009,109500
777,75,9675,2005,3,1,2009,253000
242,120,15611,2006,3,1,2006,233230
14,72,10791,1967,2,2,2006,90000
316,43,3182,2004,2,1,2010,192000
601,60,8172,1954,4,1,2008,135000
388,92,11952,1977,3,1,2007,190000
167,50,7000,1924,2,1,2006,112000
841,70,8400,2001,3,1,2009,227000
21,110,14230,2007,3,1,2009,256300
647,86,11210,2005,3,1,2006,221500
1155,49,15256,2007,3,1,2007,282922
832,65,8385,1977,3,1,2008,149900
563,24,2289,1978,3,1,2009,148500
1171,37,4435,2003,1,1,2008,136500
687,114,14803,2007,2,1,2008,385000
958,109,8724,1968,3,1,2007,129000
190,174,15138,1995,4,1,2009,403000
976,60,10800,1920,2,1,2006,120000
700,70,11767,1946,3,1,2008,130500
511,21,1491,1972,1,1,2010,75500
1083,85,11075,1969,4,1,2008,206900
475,76,9967,2000,3,1,2007,170000
857,21,1477,1970,1,1,2009,80000
748,65,6993,1961,3,1,2006,135000
253,118,13704,2001,3,1,2006,205000
22,60,7200,1951,3,1,2010,134800
460,85,10625,2003,3,1,2008,284000
277,85,10655,2003,3,1,2009,284000
956,76,9120,1974,4,1,2008,185000
386,98,11428,2006,3,1,2007,250000
806,55,7892,1979,2,1,2010,99500
344,60,8160,1940,3,1,2007,126000
770,73,8925,2007,3,1,2009,201000
131,100,12552,2004,3,1,2010,254900
872,43,7052,2005,2,1,2006,185850
1124,41,2665,1977,4,1,2006,127000
88,64,7018,1979,4,2,2009,118964
331,60,10200,1940,2,1,2008,108000
467,66,21780,1918,4,1,2008,185000
122,24,2522,2004,3,1,2006,130000
1045,34,4060,1998,2,1,2008,181000
1096,85,10000,2006,3,1,2007,227000
1131,52,6292,1930,2,1,2008,91000
861,80,9600,1981,4,1,2009,278000
1127,80,9600,1955,3,1,2008,165500
